year,results
2000,22800
2001,26500
2002,32800
2003,38500
2004,45500
2005,51500
2006,57000
2007,64800
2008,70200
2009,80300
2010,87500
2011,90000
2012,94600
2013,101000
2014,92800
2015,91600
2016,68000
2017,54200
2018,36300
